Date,AAPL,AMZN,GOOGL,META,MSFT
2021-06-30,134.6584930419922,172.00799560546875,121.94953918457031,346.9969482421875,264.0676574707031
2021-07-01,134.96328735351562,171.64849853515625,122.30413818359375,353.66326904296875,264.7499694824219
2021-07-02,137.60809326171875,175.5489959716797,125.11390686035156,353.9726257324219,270.64739990234375
2021-07-06,139.63343811035156,183.78700256347656,126.04534149169922,352.0565490722656,270.6571350097656
2021-07-07,142.14060974121094,184.82899475097656,126.32901000976562,349.7712097167969,272.86993408203125
2021-07-08,140.83294677734375,186.57049560546875,124.90065002441406,344.941162109375,270.4231872558594
2021-07-09,142.67152404785156,185.9669952392578,125.3746109008789,349.701416015625,270.9301452636719
2021-07-12,142.07177734375,185.92750549316406,126.82994079589844,352.435791015625,270.3258056640625
2021-07-13,143.19259643554688,183.8679962158203,127.19551849365234,351.3679504394531,273.8934631347656
2021-07-14,146.64361572265625,184.08399963378906,128.08999633789062,346.9171142578125,275.3848571777344
2021-07-15,145.98487854003906,181.55999755859375,126.85940551757812,343.75360107421875,273.94219970703125
2021-07-16,143.93002319335938,178.68150329589844,126.82444763183594,340.46038818359375,273.6692199707031
2021-07-19,140.05621337890625,177.47950744628906,124.43518829345703,336.2590026855469,270.0235290527344
2021-07-20,143.6940460205078,178.6595001220703,126.0648193359375,340.9593505859375,272.2752380371094
2021-07-21,142.95663452148438,179.25999450683594,127.40278625488281,345.5199890136719,274.3027648925781
2021-07-22,144.3330841064453,181.90150451660156,128.27427673339844,350.4698181152344,278.92333984375
2021-07-23,146.06353759765625,182.83200073242188,132.86251831054688,369.03167724609375,282.36419677734375
2021-07-26,146.486328125,184.99099731445312,133.88134765625,371.6961669921875,281.7598876953125
2021-07-27,144.30364990234375,181.3195037841797,131.748779296875,367.0556945800781,279.3132019042969
2021-07-28,142.54371643066406,181.51600646972656,135.93797302246094,372.5145263671875,279.0013122558594
2021-07-29,143.19259643554688,179.99600219726562,135.62184143066406,357.585205078125,279.274169921875
2021-07-30,143.40890502929688,166.37950134277344,134.57205200195312,355.5693359375,277.7243347167969
2021-08-02,143.07461547851562,166.57400512695312,134.69992065429688,351.228271484375,277.6366271972656
2021-08-03,144.8837127685547,168.31199645996094,135.47451782226562,350.5196838378906,279.8785705566406
2021-08-04,144.4805908203125,167.73599243164062,134.97059631347656,358.1839599609375,279.28399658203125
2021-08-05,144.58872985839844,168.79949951171875,136.09530639648438,362.22564697265625,282.2180480957031
2021-08-06,143.89950561523438,167.2469940185547,135.5828857421875,362.7645568847656,282.1595764160156
2021-08-09,143.85023498535156,167.093505859375,136.75604248046875,360.8684387207031,281.05804443359375
2021-08-10,143.36778259277344,166.03399658203125,136.65017700195312,360.3894348144531,279.2157287597656
2021-08-11,143.623779296875,164.60549926757812,136.12278747558594,359.2218322753906,279.712890625
2021-08-12,146.6073455810547,165.1750030517578,137.03672790527344,361.9062805175781,282.500732421875
2021-08-13,146.81411743164062,164.69850158691406,137.56961059570312,362.4352111816406,285.46405029296875
2021-08-16,148.80313110351562,164.94949340820312,138.15093994140625,365.80828857421875,287.1699523925781
2021-08-17,147.8874053955078,162.09800720214844,136.5048370361328,357.7149353027344,285.688232421875
2021-08-18,144.1161346435547,160.06100463867188,135.29373168945312,354.7210693359375,283.9400634765625
2021-08-19,144.45091247558594,159.3874969482422,135.5244598388672,354.3917541503906,289.8389892578125
2021-08-20,145.91807556152344,159.99749755859375,137.27195739746094,358.6330261230469,297.251708984375
2021-08-23,147.41477966308594,163.2935028076172,139.88096618652344,362.6048583984375,297.5350036621094
2021-08-24,147.3261260986328,165.28900146484375,141.0995635986328,364.76043701171875,295.5523376464844
2021-08-25,146.08544921875,164.95899963378906,141.91612243652344,367.6345520019531,294.9566345214844
2021-08-26,145.2780303955078,165.8000030517578,141.2783660888672,363.63275146484375,292.1048278808594
2021-08-27,146.32180786132812,167.48150634765625,143.8389129638672,371.8658447265625,292.72015380859375
2021-08-30,150.77247619628906,171.07850646972656,144.42474365234375,379.87939453125,296.49969482421875
2021-08-31,149.5022735595703,173.5395050048828,144.5316162109375,378.60198974609375,294.82965087890625
2021-09-01,150.1717987060547,173.9499969482422,145.0490264892578,381.2665100097656,294.78076171875
2021-09-02,151.29434204101562,173.156005859375,143.12274169921875,374.5104064941406,294.1166687011719
2021-09-03,151.9343719482422,173.90249633789062,143.57472229003906,375.4884033203125,294.10699462890625
